nexrm_propertyid,createdon,createdby,modifiedon,modifiedby,createdbyname,createdbyyominame,modifiedbyname,modifiedbyyominame,organizationid,organizationidname,statecode,statecodename,statuscode,statuscodename,timezoneruleversionnumber,utcconversiontimezonecode,nexrm_name,nexrm_address1,nexrm_city,nexrm_state,nexrm_zip,wcp_propertytypeid,wcp_propertytypeidname,wcp_bedroomsprop,wcp_sqftprop,wcp_county,wcp_countyname,nexrm_fulladdress,nexrm_latitude,nexrm_longitude,nexrm_validatedaddress,nexrm_countyfipscode,nexrm_validatedaddresson,wcp_bathroomsprop
ec47d330-8c23-eb11-a813-00224802e4a2,2020-11-10 19:37:40+00,2dce957e-245f-ea11-a811-000d3a33f066,2023-07-13 17:09:25+00,2da7b0bd-2aa8-eb11-b1ac-000d3a316ffe,Emily Johnson,Emily Johnson,Xin ( joe ) Zhao,Xin ( joe ) Zhao,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,35.0,PROP-001517,,,,,858555780.0,Land,,,,,"Lot 61-65 Tennessee Ave, Lansdowne, MD 21227",,,"Lot 61-65 Tennessee Ave, Lansdowne, MD 21227",24510.0,,
c1096fb5-896b-ed11-9561-000d3a373543,2022-11-23 23:51:20+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-23 23:51:22+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002420,9326 Wellington St,Lanham,MD - Maryland,20706.0,858555779.0,Single Family,3.0,1246.0,a76f9450-cff5-e411-80ee-c4346bac3970,Prince Georges - MD,9326 WELLINGTON ST LANHAM MD 20706,38.98,-76.85,9326 Wellington St Lanham MD 20706-2726,24033.0,2022-11-23 23:51:22+00,1.0
c3096fb5-896b-ed11-9561-000d3a373543,2022-11-23 23:51:20+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-23 23:51:21+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002430,3105 Walters Ln,District Heights,MD - Maryland,20747.0,754300003.0,Fourplex,3.0,1912.0,a76f9450-cff5-e411-80ee-c4346bac3970,Prince Georges - MD,3105 WALTERS LN DISTRICT HEIGHTS MD 20747,38.85,-76.89,3105 Walters Ln District Heights MD 20747-3212,24033.0,2022-11-23 23:51:21+00,5.0
8dfd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:50+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:51+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002470,1730 Montello Ave NE,Washington,DC - District of Columbia,20002.0,858555779.0,Single Family,3.0,1792.0,876f9450-cff5-e411-80ee-c4346bac3970,District of Columbia - DC,1730 MONTELLO AVE NE WASHINGTON DC 20002,38.91,-76.99,1730 Montello Ave NE Washington DC 20002-7821,11001.0,2022-11-24 00:11:51+00,1.5
8efd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:50+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:51+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002476,3102 Polk Ct,Glenarden,MD - Maryland,20706.0,858555779.0,Single Family,2.0,925.0,a76f9450-cff5-e411-80ee-c4346bac3970,Prince Georges - MD,3102 POLK CT GLENARDEN MD 20706,38.93,-76.87,3102 Polk Ct Glenarden MD 20706-1743,24033.0,2022-11-24 00:11:51+00,1.0
93fd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:50+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:51+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002487,3709 Chesholm Rd,Baltimore,MD - Maryland,21216.0,858555779.0,Single Family,6.0,2900.0,936f9450-cff5-e411-80ee-c4346bac3970,Baltimore City - MD,3709 CHESHOLM RD BALTIMORE MD 21216,39.31,-76.68,3709 Chesholm Rd Baltimore MD 21216-2414,24510.0,2022-11-24 00:11:51+00,3.0
94fd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:50+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:51+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002488,1412 Meridian Pl NW,Washington,DC - District of Columbia,20010.0,858555779.0,Single Family,3.0,1466.0,876f9450-cff5-e411-80ee-c4346bac3970,District of Columbia - DC,1412 MERIDIAN PL NW WASHINGTON DC 20010,38.93,-77.03,1412 Meridian Pl NW Washington DC 20010-1924,11001.0,2022-11-24 00:11:51+00,1.0
f3fd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002550,331 Howard Ave,Rockville,MD - Maryland,20850.0,858555779.0,Single Family,2.0,720.0,976f9450-cff5-e411-80ee-c4346bac3970,Montgomery - MD,331 HOWARD AVE ROCKVILLE MD 20850,39.09,-77.15,331 Howard Ave Rockville MD 20850-1635,24031.0,2022-11-24 00:11:52+00,1.0
f9fd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002553,5333 Bucktown Rd,Cambridge,MD - Maryland,21613.0,858555779.0,Single Family,3.0,1200.0,af6f9450-cff5-e411-80ee-c4346bac3970,Dorchester - MD,5333 BUCKTOWN RD CAMBRIDGE MD 21613,38.55,-76.04,5333 Bucktown Rd Cambridge MD 21613-3477,24019.0,2022-11-24 00:11:52+00,2.0
fafd3f97-8c6b-ed11-9561-000d3a373543,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,2022-11-24 00:11:52+00,3cc30e11-627f-eb11-a812-000d3a31bb73,Proveo API,Proveo API,Proveo API,Proveo API,1a3231bd-c8ae-4fdc-8fb0-684125b272a1,washingtoncapitalpartners,0,Active,1,Active,0.0,10.0,PROP-002554,220 Panorama Dr,Oxon Hill,MD - Maryland,20745.0,858555779.0,Single Family,3.0,1386.0,a76f9450-cff5-e411-80ee-c4346bac3970,Prince Georges - MD,220 PANORAMA DR OXON HILL MD 20745,38.79,-77.01,220 Panorama Dr Oxon Hill MD 20745-1027,24033.0,2022-11-24 00:11:52+00,1.1
